name,zip,address,電話番号,lat,lng
名越クリーンセンター,〒248-0007,鎌倉市大町5-11-16,0467-24-1097,35.308013,139.561379
今泉クリーンセンター,〒247-0052,鎌倉市今泉4-1-1,0467-44-5344,35.343984,139.564483
笛田リサイクルセンター,〒248-0027,鎌倉市笛田1-11-34,0467-32-9090,35.332768,139.507242
植木剪定材受入事業場,〒247-0075,鎌倉市関谷1493-2,0467-45-0526,35.361887,139.500661
七里ガ浜浄化センター,〒248-0025,鎌倉市七里ガ浜東5-3-1,0467-31-5224,35.312035,139.512768
山崎浄化センター,〒247-0066,鎌倉市山崎354-2,0467-46-8001,35.345665,139.523386
鎌倉海浜公園,〒248-0014,鎌倉市由比ガ浜4-9,,35.310518,139.541493
鎌倉海浜公園由比ガ浜地区,〒248-0014,鎌倉市由比ガ浜4-7-1,0467-23-3000,35.31018,139.542054
鎌倉海浜公園稲村ガ崎地区,〒248-0024,鎌倉市稲村ガ崎1,0467-23-3000,35.302457,139.525644
鎌倉海浜公園坂ノ下地区,〒248-0021,鎌倉市坂ノ下34,0467-23-3000,35.304576,139.53158
鎌倉中央公園,〒247-0066,鎌倉市山崎1667,0467-45-2750,35.334483,139.530592
